rainfall_intensity_mm_per_hr,duration_hr,timestep_min,drainage_degradation_factor,scenario_id,max_water_depth_at_sensor_mm
93.62,4.7,5,0.21,585,185.25497695757406
89.02,1.5,5,0.52,586,64.07302744720808
14.86,3.4,5,0.64,587,0.0
99.46,1.8,5,0.65,588,73.3858888493731
81.29,2.7,10,0.26,589,184.02399559932292
43.05,5.7,5,0.88,590,0.0
14.0,6.0,5,0.41,591,0.0
21.5,4.2,5,0.63,592,2.220446049250313e-16
41.1,4.9,20,0.35,593,49.80343822540213
27.98,5.5,5,0.26,594,4.440892098500626e-16
54.2,2.3,10,0.15,595,101.62645734069582
66.8,3.4,15,0.75,596,5.37620690365952
73.71,4.1,20,0.72,597,44.36386304739067
11.63,3.3,5,0.43,598,0.0
44.4,1.1,5,0.49,599,0.0
69.44,2.3,20,0.55,600,23.976355089271472
59.56,2.9,15,0.57,601,18.729875822380073
53.7,3.2,5,0.65,602,8.881784197001252e-16
27.74,1.8,5,0.35,603,0.0
61.54,3.9,15,0.76,604,3.552713678800501e-15
91.44,6.0,15,0.68,605,240.74649923965637
67.78,3.9,10,0.2,606,201.26895217069182
42.29,2.1,20,0.66,607,0.0
38.25,4.4,20,0.5,608,0.0
13.93,3.8,5,0.2,609,0.0
22.95,3.9,20,0.86,610,0.0
76.59,3.5,10,0.55,611,111.69294540007562
69.39,2.9,15,0.76,612,4.025227211008989
83.78,1.9,5,0.96,613,0.07670642541561115
69.9,4.4,5,0.14,614,132.39530737792097
63.56,4.9,15,0.33,615,192.8209652152934
23.76,1.3,20,0.72,616,0.0
75.24,4.8,10,0.11,617,293.20777985638944
11.45,4.2,20,0.33,618,4.440892098500626e-16
93.37,5.3,15,0.85,619,144.8025733336949
67.11,1.1,15,0.33,620,32.61595128519987
89.97,4.1,20,0.19,621,383.23717278659234
80.74,5.5,20,0.94,622,22.32733918523794
56.91,2.1,20,0.44,623,20.77369452187688
51.05,5.5,20,0.36,624,123.69507305863903
19.29,3.2,20,0.42,625,8.881784197001252e-16
51.58,1.1,10,0.13,626,44.19910566675877
37.17,3.6,10,0.37,627,9.49478457698386
60.84,4.7,20,0.22,628,241.93634737269923
82.18,1.7,20,0.72,629,7.656006339511419
11.6,2.1,10,0.82,630,0.0
57.68,3.2,10,0.13,631,159.42546853017203
46.53,1.4,10,0.67,632,0.0
28.59,2.7,15,0.76,633,8.881784197001252e-16
12.7,5.2,20,0.77,634,0.0
66.64,4.2,10,0.52,635,93.68662946662201
19.88,2.6,15,0.84,636,0.0
92.34,4.0,20,0.83,637,89.89445538146434
65.12,5.3,10,0.83,638,0.0
47.24,2.6,20,0.8,639,0.0
57.6,2.0,5,0.46,640,23.15155254262158
45.77,5.4,5,0.35,641,26.470452779338316
44.92,4.0,20,0.75,642,3.552713678800501e-15
36.78,5.6,10,0.1,643,118.4124907630515
98.67,3.6,15,0.98,644,57.75969317478217
46.51,1.7,20,0.67,645,0.0
82.56,5.6,15,0.39,646,311.02293185463935
64.76,5.3,5,0.92,647,8.881784197001252e-16
39.39,3.3,10,0.53,648,0.0
72.04,1.6,20,0.96,649,3.552713678800501e-15
88.66,4.2,10,0.6,650,167.89085810640728
53.36,3.9,15,0.24,651,141.80751500716522
73.27,5.3,5,0.51,652,68.8785241079877
39.83,4.6,15,0.59,653,1.7763568394002505e-15
25.09,2.2,20,0.67,654,0.0
22.31,1.3,5,0.39,655,2.220446049250313e-16
87.39,5.7,20,0.92,656,77.75002747867659
43.03,5.6,5,0.59,657,0.0
24.96,2.0,10,0.85,658,0.0
77.24,3.5,5,0.81,659,16.636247652747038
78.88,5.0,10,0.13,660,312.87639097097883
14.51,1.8,10,0.48,661,0.0
85.68,2.9,15,0.85,662,25.76158267699211
80.2,1.0,15,0.7,663,1.3550305536454996
66.22,5.4,15,0.7,664,48.51850845719277
11.59,4.2,15,0.56,665,4.440892098500626e-16
21.2,5.2,15,0.36,666,8.881784197001252e-16
58.07,2.3,10,0.2,667,99.95876694722368
44.25,3.8,10,0.5,668,1.4639702542901356
65.33,3.0,20,0.42,669,90.21544259711915
36.24,3.5,5,0.72,670,4.440892098500626e-16
45.11,2.4,20,0.72,671,0.0
79.61,1.3,15,0.21,672,88.15526516417312
56.18,1.7,10,0.18,673,76.44157043220639
24.72,4.7,10,0.22,674,11.87871237512961
31.43,1.8,10,0.96,675,8.881784197001252e-16
33.42,4.2,20,0.49,676,1.7763568394002505e-15
34.88,4.5,10,0.56,677,8.881784197001252e-16
77.26,1.8,10,0.88,678,0.0
23.8,3.1,15,0.53,679,0.0
64.94,1.8,15,0.9,680,0.0
58.83,2.0,10,0.77,681,1.7763568394002505e-15
88.78,2.5,5,0.75,682,49.703383236561436
17.7,1.2,15,0.6,683,0.0
33.7,2.8,20,0.17,684,50.895820030767524
88.93,5.8,5,0.73,685,68.80971713045734
92.68,3.2,5,0.72,686,72.99497467819825
73.11,2.6,15,0.62,687,40.376103096857534
37.29,4.1,20,0.24,688,68.61191412445433
74.98,4.5,5,1.0,689,0.0
69.6,5.3,10,0.17,690,254.51223034212228
47.52,4.2,10,0.79,691,0.0
71.21,4.9,15,0.59,692,116.47305470006529
48.32,1.7,20,1.0,693,0.0
32.77,1.4,20,0.19,694,13.926570421073194
10.25,1.9,10,0.93,695,2.220446049250313e-16
86.69,1.5,10,0.22,696,123.18474064792952
27.53,4.5,20,0.74,697,0.0
61.73,1.2,15,0.31,698,28.674090795095434
29.88,3.6,5,0.95,699,4.440892098500626e-16
47.36,2.6,5,0.75,700,0.0
73.01,2.4,5,0.12,701,124.14136165538662
37.81,3.7,15,0.57,702,1.7763568394002505e-15
29.85,4.3,15,0.96,703,0.0
48.14,1.8,20,0.61,704,0.0
36.87,4.1,20,0.34,705,21.698960324900273
16.43,5.7,15,0.86,706,0.0
78.44,4.4,20,0.78,707,52.63633418767725
39.4,1.7,10,0.52,708,0.0
77.81,3.6,15,0.99,709,3.552713678800501e-15
56.48,4.6,15,0.45,710,88.7867876177786
78.83,1.4,15,0.7,711,3.558613141797763
26.14,3.5,10,0.66,712,0.0
88.64,3.0,15,0.16,713,287.6784150332165
51.33,2.4,15,0.75,714,1.7763568394002505e-15
45.67,1.9,10,0.51,715,1.7763568394002505e-15
39.82,5.1,15,0.56,716,1.7763568394002505e-15
15.31,3.7,15,0.8,717,0.0
22.08,5.3,5,0.29,718,0.0
30.25,4.9,10,0.66,719,8.881784197001252e-16
96.5,2.8,10,0.45,720,182.11692507535554
65.87,5.9,5,0.97,721,8.881784197001252e-16
99.86,4.3,5,0.92,722,59.23267191210582
13.01,2.2,15,0.26,723,4.440892098500626e-16
35.06,5.0,15,0.35,724,20.073761831848543
85.73,4.6,5,0.67,725,70.53598139696247
17.87,3.3,10,0.96,726,4.440892098500626e-16
11.03,4.1,5,0.89,727,1.1102230246251565e-16
44.31,5.5,20,0.86,728,0.0
97.61,1.8,20,0.44,729,102.12529909093466
19.41,5.1,15,0.71,730,8.881784197001252e-16
25.48,4.4,15,0.6,731,8.881784197001252e-16
37.15,1.6,20,0.96,732,1.7763568394002505e-15
53.77,1.1,10,0.68,733,1.7763568394002505e-15
50.54,4.0,20,0.2,734,160.72896121865548
30.64,3.2,15,0.62,735,0.0
13.83,1.6,15,0.85,736,4.440892098500626e-16
60.68,5.0,10,0.46,737,98.96734285130802
28.15,5.0,10,0.52,738,8.881784197001252e-16
29.24,3.0,15,0.53,739,0.0
70.22,2.3,15,0.51,740,53.15641593452695
59.46,5.4,10,0.51,741,77.78237743874999
48.95,6.0,5,0.38,742,29.022187476818647
56.38,5.5,20,0.95,743,3.552713678800501e-15
82.69,1.2,15,0.69,744,3.2765403585655313
37.57,4.2,10,0.43,745,1.7763568394002505e-15
62.8,5.7,5,0.84,746,8.881784197001252e-16
53.08,4.2,20,0.22,747,164.8920157388648
67.56,5.4,15,0.51,748,145.7997113736053
70.79,4.0,10,0.86,749,2.80521137716471
61.43,3.6,20,0.56,750,33.08536765113345
81.88,4.7,5,0.58,751,78.0188271192573
37.69,3.6,15,0.91,752,0.0
46.07,3.3,10,0.37,753,39.11128417528857
60.5,3.4,20,0.49,754,54.845004093390024
91.35,5.6,10,0.17,755,374.4809112634543
47.03,3.1,20,0.31,756,58.08973591118371
88.65,5.3,20,0.53,757,270.9336452086595
70.42,5.7,5,0.53,758,57.19640141711537
19.46,2.8,20,0.18,759,0.8107166414524177
59.38,3.8,15,0.85,760,3.552713678800501e-15
19.83,3.4,20,0.2,761,0.12820573634518176
53.1,3.3,15,0.85,762,0.0
54.47,5.2,5,0.74,763,8.881784197001252e-16
93.12,1.0,15,0.59,764,26.32306804848704
43.08,1.5,10,0.31,765,15.825789034836976
42.79,4.2,10,0.5,766,1.7763568394002505e-15
14.53,2.9,15,0.69,767,4.440892098500626e-16
74.32,3.9,5,0.25,768,120.53602569190923
18.2,5.8,20,0.13,769,32.17111413367639
12.82,4.1,15,0.42,770,0.0
90.52,1.1,20,0.45,771,40.675860458276865
64.08,5.1,10,0.66,772,43.178957544269046
90.61,2.4,15,0.41,773,146.43619099893317
24.42,1.5,20,0.53,774,0.0
21.48,2.6,10,0.33,775,0.0
52.29,2.6,20,0.83,776,0.0
42.75,1.8,15,0.42,777,0.3931356600594846
29.49,5.6,20,0.21,778,60.419803018894264
61.33,5.9,15,0.78,779,0.2840110401021698
92.79,5.8,20,0.39,780,422.7082027042833
40.27,5.4,10,0.88,781,0.0
68.04,4.8,10,0.59,782,83.65197450652789
34.34,5.9,15,0.61,783,1.7763568394002505e-15
59.8,4.2,20,0.42,784,104.27558944413857
42.12,2.4,5,0.57,785,4.440892098500626e-16
27.89,4.6,10,0.61,786,8.881784197001252e-16
28.56,3.4,10,0.63,787,8.881784197001252e-16
19.51,4.8,15,1.0,788,8.881784197001252e-16
24.16,5.6,10,0.12,789,48.829858216904974
75.86,3.7,10,0.45,790,146.75121813221293
61.04,2.5,10,0.2,791,123.95274905933586
36.59,2.0,10,1.0,792,8.881784197001252e-16
65.53,5.8,10,0.96,793,0.0
46.7,3.8,5,0.94,794,0.0
60.0,3.2,15,0.62,795,11.882493464504803
55.73,2.6,15,0.98,796,0.0
65.67,1.6,15,0.67,797,0.0
28.66,3.0,20,0.51,798,0.0
61.99,4.5,20,0.29,799,195.8704922473415
88.85,3.4,5,0.41,800,124.68385098587574
69.89,3.6,20,0.9,801,0.0
68.06,4.7,10,0.2,802,225.24881603238708
15.04,4.2,10,0.63,803,0.0
19.21,3.4,10,0.26,804,0.0
45.06,5.2,10,0.59,805,1.7763568394002505e-15
85.6,4.9,5,0.92,806,20.40476772309269
10.27,1.3,15,0.96,807,0.0
84.02,3.5,20,0.18,808,295.9521955839438
62.18,4.5,20,0.91,809,0.0
83.21,4.1,20,0.79,810,61.62021292348319
46.42,5.3,15,0.41,811,61.970221441854136
92.45,2.8,20,0.66,812,88.84672829027389
32.42,5.7,10,0.68,813,8.881784197001252e-16
29.55,5.6,5,0.82,814,0.0
96.72,4.3,20,0.81,815,120.99461843772555
57.63,1.4,10,0.49,816,8.454054806697844
61.52,2.1,5,0.95,817,8.881784197001252e-16
22.44,4.3,5,0.58,818,2.220446049250313e-16
86.89,3.2,5,0.95,819,13.88342264167958
60.85,2.0,5,0.88,820,8.881784197001252e-16
62.33,5.3,20,0.81,821,3.552713678800501e-15
37.52,3.4,15,0.71,822,1.7763568394002505e-15
46.02,3.8,5,0.5,823,8.881784197001252e-16
93.1,2.0,10,0.42,824,133.9357359531631
84.12,4.8,20,0.86,825,57.96134430811497
46.15,2.6,5,0.16,826,57.4533957910928
47.22,3.0,10,0.51,827,3.943919350603381
32.03,3.2,15,0.36,828,1.7763568394002505e-15
41.31,5.3,20,0.75,829,1.7763568394002505e-15
59.26,3.4,20,0.49,830,49.53236800470403
22.68,3.8,15,0.82,831,8.881784197001252e-16
56.74,2.8,5,0.17,832,82.4457200476105
55.3,4.7,15,0.47,833,73.36962657618542
74.56,4.7,20,0.48,834,188.7375577482264
29.9,5.2,10,0.88,835,8.881784197001252e-16
82.1,3.8,15,0.82,836,49.840659367562495
17.0,3.7,10,0.92,837,4.440892098500626e-16
99.75,1.5,15,0.97,838,2.7166924258219685
70.25,1.9,20,0.68,839,0.19927128032266836
99.73,4.5,15,0.22,840,443.3702399763479
60.06,1.8,5,0.41,841,32.87307544201682
84.85,4.8,20,0.97,842,19.218097411564298
43.19,5.7,5,0.81,843,4.440892098500626e-16
27.19,3.8,5,0.32,844,0.0
54.48,3.4,10,0.28,845,103.87527304970187
17.19,3.9,20,0.45,846,0.0
67.48,5.0,10,0.65,847,63.445280314495704
14.35,2.5,15,0.84,848,0.0
99.6,3.0,10,0.79,849,110.32840612763663
30.35,2.5,10,0.5,850,0.0
55.34,2.4,15,0.52,851,10.30302059235172
49.82,2.4,15,0.29,852,55.18069222906889
68.31,1.1,10,0.84,853,1.7763568394002505e-15
27.89,1.6,15,0.79,854,0.0
14.31,1.3,15,0.46,855,4.440892098500626e-16
47.64,1.4,5,0.74,856,0.0
82.95,1.4,10,0.41,857,66.53585284329637
94.3,2.1,5,0.69,858,65.51538672965886
48.81,2.5,10,0.45,859,16.662777693431615
98.68,4.2,20,0.53,860,264.959013258466
13.79,4.3,15,0.5,861,4.440892098500626e-16
74.04,5.5,15,0.56,862,169.62486214197332
71.57,2.7,20,0.66,863,20.654066706756925
10.11,6.0,15,0.17,864,0.0
73.14,1.3,10,0.36,865,48.52776725016753
68.19,5.2,10,0.79,866,19.075966706694068
28.54,3.0,10,0.31,867,0.0
66.15,3.3,5,0.65,868,17.616401354922615
51.15,5.6,20,0.22,869,205.3511703745025
57.37,5.4,15,0.27,870,199.33577503682088
18.51,3.4,15,0.4,871,0.0
15.21,5.0,5,0.84,872,0.0
25.59,5.0,20,0.85,873,0.0
71.61,5.8,10,0.82,874,28.315580787365786
87.25,3.6,5,0.15,875,173.71285492543902
88.6,4.2,5,0.23,876,165.3181386619363
70.95,4.7,15,0.32,877,231.1044251754487
64.52,3.0,10,0.41,878,92.87897472269712
98.46,2.7,20,0.17,879,290.74150515103486
14.52,5.6,20,0.96,880,0.0
83.19,1.8,15,0.6,881,42.69786192611002
60.86,2.7,5,0.72,882,0.0
99.83,1.5,15,1.0,883,1.133162038989939
68.1,5.3,15,0.84,884,5.233464023454288
67.19,1.6,5,0.27,885,65.19397765364434
37.5,3.7,10,0.95,886,8.881784197001252e-16
27.4,1.3,15,0.91,887,8.881784197001252e-16
95.65,5.0,20,0.35,888,418.7341843404427
82.54,2.9,20,1.0,889,0.0
56.51,1.5,20,0.24,890,44.993064024615784
57.62,1.9,5,0.7,891,8.881784197001252e-16
51.53,1.0,5,0.91,892,0.0
84.06,4.6,20,0.15,893,398.93573802304917
23.93,5.7,10,0.13,894,44.46820330398637
58.31,4.2,20,0.62,895,14.241573860006385
50.42,2.9,10,0.94,896,0.0
92.59,1.7,10,0.4,897,112.24881288710068
42.29,2.3,5,0.69,898,4.440892098500626e-16
42.21,3.7,20,0.66,899,0.0
98.03,2.1,10,0.65,900,91.14004561768802
58.73,3.7,10,0.72,901,1.7763568394002505e-15
11.06,5.6,15,0.15,902,4.440892098500626e-16
49.18,4.5,10,0.94,903,1.7763568394002505e-15
13.03,4.2,15,0.54,904,4.440892098500626e-16
27.91,2.4,15,0.56,905,0.0
56.97,4.9,5,0.85,906,8.881784197001252e-16
40.26,2.8,15,0.34,907,20.72244052552329
29.1,4.5,20,0.92,908,1.7763568394002505e-15
77.83,1.9,15,0.37,909,86.09492589958914
20.3,1.2,10,0.13,910,4.373972299294792
10.37,2.9,15,0.73,911,0.0
25.56,1.3,10,0.59,912,0.0
69.83,3.3,20,0.23,913,185.43034032705125
71.5,1.7,20,0.89,914,3.552713678800501e-15
51.64,5.6,10,0.34,915,103.04340127668233
39.05,5.4,20,0.31,916,69.36153717785467
52.73,1.6,20,0.45,917,1.617289644027911
44.94,1.9,5,0.36,918,12.54600751247142
67.68,3.6,5,0.48,919,56.05869116024812
32.79,4.3,20,0.4,920,1.7763568394002505e-15
99.62,5.2,15,0.29,921,444.09322675313257
84.66,3.5,5,0.32,922,132.5273679271077
30.7,2.6,15,0.76,923,0.0
12.97,4.3,20,0.39,924,0.0
99.85,1.6,20,0.87,925,3.600532584331931
82.4,2.4,5,0.29,926,115.40678110852419
44.02,4.3,5,0.79,927,4.440892098500626e-16
84.76,4.5,5,0.73,928,55.63632514140307
33.68,5.9,15,0.24,929,70.70470899844783
75.39,3.7,10,0.44,930,148.07179810767795
23.97,1.2,20,0.74,931,0.0
91.29,2.6,5,0.46,932,111.04048372932577
54.53,4.5,5,0.37,933,45.097353326858475
83.75,4.7,10,0.86,934,63.986247998535646
66.73,1.3,15,0.4,935,30.619876871014313
98.92,1.8,5,0.46,936,103.5845630312581
52.13,5.0,5,1.0,937,0.0
48.44,5.9,10,0.83,938,1.7763568394002505e-15
92.59,1.3,15,0.9,939,3.552713678800501e-15
55.44,5.2,5,0.53,940,15.915985567828555
69.66,4.8,20,0.89,941,0.0
81.73,4.1,20,0.22,942,322.95468775379646
39.78,2.1,5,0.91,943,4.440892098500626e-16
20.88,5.4,15,0.27,944,8.881784197001252e-16
57.95,3.6,5,0.13,945,99.42933301281666
95.77,4.0,5,0.32,946,166.4130258179627
88.06,4.9,15,0.94,947,59.396110753246546
83.16,1.2,15,0.81,948,0.0
23.26,4.3,15,0.33,949,8.881784197001252e-16
97.86,2.8,5,0.93,950,42.29389510320133
15.53,1.4,15,0.65,951,0.0
95.34,4.8,20,0.98,952,66.46661024094126
26.36,2.4,10,0.97,953,0.0
92.39,3.2,10,0.19,954,277.3719406790756
51.91,2.5,10,0.99,955,0.0
24.84,5.8,20,0.27,956,3.2824751729607464
80.32,1.4,20,0.54,957,24.488599713492164
79.96,4.3,5,0.45,958,97.7528347358755
81.7,1.3,10,0.88,959,0.0
56.89,3.1,10,0.23,960,119.52136115923669
54.76,2.8,20,0.5,961,14.827087735896294
47.9,5.9,10,0.8,962,1.7763568394002505e-15
53.48,5.5,20,0.89,963,3.552713678800501e-15
41.2,2.1,5,0.28,964,20.465627300932603
87.03,5.0,10,0.9,965,70.4703281636688
56.78,5.8,15,0.17,966,259.88145386691826
26.22,3.4,5,0.77,967,0.0
70.39,5.3,10,0.58,968,105.59766593451106
43.02,1.2,10,0.69,969,0.0
40.46,1.7,10,0.65,970,8.881784197001252e-16
91.5,4.8,10,0.61,971,191.3234452445171
56.4,2.2,5,0.48,972,18.894157104223034
19.34,2.5,20,0.57,973,8.881784197001252e-16
42.84,3.0,15,0.76,974,1.7763568394002505e-15
53.32,4.2,10,0.82,975,1.7763568394002505e-15
45.46,4.9,5,0.71,976,0.0
13.08,2.1,10,0.5,977,0.0
20.14,3.3,20,0.62,978,0.0
57.8,1.9,10,0.93,979,1.7763568394002505e-15
21.92,5.7,15,0.18,980,24.512987835942734
53.97,3.3,10,0.48,981,35.82361314478717
81.73,3.4,20,0.39,982,194.274361926319
28.89,1.2,15,0.95,983,0.0
12.3,3.4,20,0.72,984,0.0
11.83,5.5,20,0.3,985,0.0
51.63,3.0,15,0.8,986,1.7763568394002505e-15
64.4,4.5,10,0.77,987,5.508966394255756
96.21,3.1,10,0.69,988,127.57101190838019
73.08,3.8,5,0.86,989,8.881784197001252e-16
44.81,3.7,10,0.4,990,31.21020527374089
96.27,2.0,15,0.51,991,114.841893489464
84.08,4.2,5,0.19,992,160.78307409114734
78.46,5.4,20,0.23,993,391.9326070739718
47.43,4.7,5,0.75,994,0.0
17.58,4.4,5,0.14,995,2.220446049250313e-16
20.17,2.3,5,0.44,996,2.220446049250313e-16
70.83,1.9,5,0.15,997,100.08358045912988
37.42,3.8,10,0.71,998,0.0
49.88,3.3,5,0.29,999,45.784782062989194
